package_id,item_id,user__id,user__feedback,data__item_id,data__sentence1,data__sentence2,annotation__output,annotation__time,reference__output,feedback__output,test_group
301,49757,514,False,2726,"""I will not listen to, or--or permit in my presence any <token>aspersion</token> against that young lady !""",He was doing nothing at Dunton Green except a little <token>tailoring</token>.,Yes,0 days 00:00:10.027574000,No,,high quality feedback
301,49757,578,True,2726,"""I will not listen to, or--or permit in my presence any <token>aspersion</token> against that young lady !""",He was doing nothing at Dunton Green except a little <token>tailoring</token>.,No,0 days 00:00:19.594627000,No,No,high quality feedback
301,49757,768,False,2726,"""I will not listen to, or--or permit in my presence any <token>aspersion</token> against that young lady !""",He was doing nothing at Dunton Green except a little <token>tailoring</token>.,Yes,0 days 00:00:05.504380000,No,,high quality feedback
301,49757,781,True,2726,"""I will not listen to, or--or permit in my presence any <token>aspersion</token> against that young lady !""",He was doing nothing at Dunton Green except a little <token>tailoring</token>.,Yes,0 days 00:00:03.318043000,No,No,high quality feedback
301,48813,514,False,2756,"Throughout it was a <token>satire</token>, though in terms managed and decent enough, on the politics of the former reign.","""I kinder <token>meander</token> round here at this time, when Johnson's away, to see if everything's goin'straight.""",No,0 days 00:00:06.594041000,No,,high quality feedback
301,48813,578,True,2756,"Throughout it was a <token>satire</token>, though in terms managed and decent enough, on the politics of the former reign.","""I kinder <token>meander</token> round here at this time, when Johnson's away, to see if everything's goin'straight.""",No,0 days 00:00:29.784832000,No,No,high quality feedback
301,48813,768,False,2756,"Throughout it was a <token>satire</token>, though in terms managed and decent enough, on the politics of the former reign.","""I kinder <token>meander</token> round here at this time, when Johnson's away, to see if everything's goin'straight.""",Yes,0 days 00:00:08.203829000,No,,high quality feedback
301,48813,781,True,2756,"Throughout it was a <token>satire</token>, though in terms managed and decent enough, on the politics of the former reign.","""I kinder <token>meander</token> round here at this time, when Johnson's away, to see if everything's goin'straight.""",Yes,0 days 00:00:06.877769000,No,No,high quality feedback
301,50090,514,False,752,"The soldiers were greatly <token>animated</token> and excited by these promises, and were in haste to have the contest come on.","He had, he felt, to create certain ideas and <token>vivify</token> certain curiosities and feelings in her.",Yes,0 days 00:00:10.528009000,Yes,,high quality feedback
301,50090,578,True,752,"The soldiers were greatly <token>animated</token> and excited by these promises, and were in haste to have the contest come on.","He had, he felt, to create certain ideas and <token>vivify</token> certain curiosities and feelings in her.",Yes,0 days 00:00:19.984323000,Yes,Yes,high quality feedback
